SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,COUNTY
PAST SALE,March-31-2023,Vacant Land,0 SPRUCE Trl,Stillwater Twp.,NJ,07860-4194,30000.0,,,Stillwater Twp.,,,,,,,Sold,,,https://www.redfin.com/NJ/Stillwater-Township/Spruce-Trl-07860/home/190346651,GSMLS,3747405.0,N,Y,41.129748659082665,-74.84865188598634,Sussex
PAST SALE,June-10-2022,Vacant Land,48 Nestor St,Franklin Boro,NJ,07416-1562,35000.0,,,Franklin Boro,,12632.0,,,,,Sold,,,https://www.redfin.com/NJ/Franklin/48-Nestor-St-07416/home/37689133,GSMLS,3774766.0,N,Y,41.123475,-74.5826443,Sussex
PAST SALE,,Condo/Co-op,2 Chamonix Dr #308,Vernon,NJ,07462,40000.0,,,,,,2003.0,,,,,,,https://www.redfin.com/NJ/Vernon/2-Chamonix-Dr-07462/unit-308/home/167667970,,,N,Y,41.1836012,-74.5191395,Sussex
PAST SALE,September-11-2020,Vacant Land,6 CLUB HOUSE Sq,Vernon Twp.,NJ,07461-4323,35000.0,,,Vernon Twp.,,15681.0,,,,,Sold,,,https://www.redfin.com/NJ/Sussex/6-Clubhouse-Sq-N-07461/home/167659550,GSMLS,3634963.0,N,Y,41.241573,-74.536371,Sussex
PAST SALE,,Condo/Co-op,8 Steamboat Dr #1,Vernon,NJ,07462,34000.0,,,,684.0,,1987.0,,50.0,,,,,https://www.redfin.com/NJ/Vernon/8-Steamboat-Dr-07462/unit-1/home/167668253,,,N,Y,41.1787165,-74.5194422,Sussex
PAST SALE,May-26-2022,Vacant Land,17 PHLOX Ter,Vernon Twp.,NJ,07418-1653,40000.0,,,Vernon Twp.,,10454.0,,,,,Sold,,,https://www.redfin.com/NJ/Glenwood/17-Phlox-Ter-07418/home/113692226,GSMLS,3676086.0,N,Y,41.237652,-74.485865,Sussex
PAST SALE,June-24-2022,Vacant Land,7 Plains Rd,Frankford Twp.,NJ,07826,30000.0,,,Frankford Twp.,,108028.0,,,,,Sold,,,https://www.redfin.com/NJ/Frankford-Twp/7-Plains-RD-07826/home/178364458,GSMLS,3764851.0,N,Y,41.130492,-74.725123,Sussex
PAST SALE,February-11-2021,Single Family Residential,"2 CHAMONIX DR, 105 #105",Vernon Twp.,NJ,07462-4600,30000.0,1.0,1.0,Vernon Twp.,,435.0,,,,,Sold,,,https://www.redfin.com/NJ/Vernon/2-Chamonix-Dr-07462/unit-105/home/167667920,GSMLS,3683846.0,N,Y,41.1836012,-74.5191395,Sussex
PAST SALE,February-9-2024,Vacant Land,595-A Glen Rd,Sparta Twp.,NJ,07871-3738,30000.0,,,Sparta Twp.,,43560.0,,,,,Sold,,,https://www.redfin.com/NJ/Sparta/595-Glen-Rd-07871/home/165431902,GSMLS,3880174.0,N,Y,41.0421504,-74.5716496,Sussex
PAST SALE,July-15-2022,Single Family Residential,21 Hemlock,Vernon Twp.,NJ,07462,30000.0,2.0,1.0,Vernon Twp.,,3484.0,,,,,Sold,,,https://www.redfin.com/NJ/Vernon-Township/21-Hemlock-07462/home/179936942,GSMLS,3789514.0,N,Y,41.11936080716664,-74.78427886962892,Sussex
