PAMS_PIN,CLOSEST_WETLAND_ID,CLOSEST_C1_ID
1902_116_11,118305,73594
1902_109_4.01_C0231,101875,73520
1902_111.02_21,71934,73517
1902_5_1_QFARM,69623,73046
1902_10_4,69974,73622
1902_62_4.04_QFARM,70191,72810
1902_5_79.02,70191,99343
1902_126_4,101756,61330
1902_102_9_QFARM,71335,71579
1902_12_24,69974,72233
1902_22_4,69974,73189
1902_6_11.07,70191,73618
1902_69_4.04,70358,72229
1902_157_27_QFARM,101587,96869
1902_91_26,71105,72771
1902_111_1,101811,58722
1902_103_13_QFARM,71215,73709
1902_7_2.01,130798,73622
1902_106_9.03_QFARM,71680,71578
1902_106_20.01,71680,71578
1902_108_7,72181,96106
1902_95_2.02,71182,73508
1902_71_3.09,70775,94691
1902_71.02_6,70732,94691
1902_116.02_1,101798,73517
1902_80_2.01,101719,75486
1902_93_3.12,71036,94691
1902_1_5.02,101435,99530
1902_1_5.04,101435,99530
1902_111_19.21,20505,72715
1902_109_4.01_C0163,118296,73520
1902_111.06_8,101811,73517
1902_31_9.01,101556,73622
1902_159_7,70149,93051
1902_124_2.02,71485,61330
1902_116.02_2_C0002,122575,73517
1902_116.02_2_C0004,122575,73517
1902_111_47,72397,72745
1902_111.01_5,7180,73517
1902_102_3.09,70734,73164
1902_69_30_QFARM,70657,72733
1902_71_3.29,70982,94691
1902_135_5,70962,61395
1902_144_1.01,70768,61420
1902_64_1_QFARM,69907,72478
1902_109_4.01_C0050,71758,73520
1902_7_2.06,130798,73622
1902_6_3.02,69873,72479
1902_116_3,104885,73518
1902_111.05_12,101811,73517
1902_160.04_3,70414,60285
1902_12_25,69950,72233
1902_116_21_C0355,71758,73520
1902_116_21_C0353,71758,73520
1902_159_1.01,70265,63593
1902_157_8.03,111150,59120
1902_139_14,70768,62471
1902_134_17.08,118163,61420
1902_69_7.01,101653,72800
1902_52_3,70232,72231
1902_46_7,101629,73082
1902_106_9.13,71661,73537
1902_99_9,101714,73508
1902_111.10_5,72160,73594
1902_109_4.01_C0181,101875,73520
1902_111.10_8,72160,73594
1902_106_17.07,71428,73537
